,ID,Fecha,Cuenta,NoCuenta,Debe,Haber,Entidad,Compras,Ventas,NoGrupo,type
0,0.0,25/09/2017,Capital social,100,0.0,1500.0,Allison Hill,0.0,0.0,100,Actual
1,1.0,25/09/2017,BBVA,572,1500.0,0.0,Allison Hill,0.0,0.0,500,Actual
2,2.0,25/09/2017,Capital social,100,0.0,1500.0,Noah Rhodes,0.0,0.0,100,Actual
3,3.0,25/09/2017,BBVA,572,1500.0,0.0,Noah Rhodes,0.0,0.0,500,Actual
4,4.0,25/09/2017,Acreedores por prestaciones de servicios (euros),410,0.0,223.1,Angie Henderson,0.0,0.0,400,Actual
5,5.0,25/09/2017,"Hacienda Pública, acreedora por retenciones practicadas",475,0.0,30.72,Angie Henderson,0.0,0.0,400,Actual
6,6.0,25/09/2017,Hacienda Pública. IVA soportado,472,43.01,0.0,Angie Henderson,0.0,0.0,400,Actual
7,7.0,25/09/2017,Reservas voluntarias,113,6.01,0.0,Angie Henderson,0.0,0.0,100,Actual
8,8.0,25/09/2017,Reservas voluntarias,113,204.8,0.0,Angie Henderson,0.0,0.0,100,Actual
9,9.0,29/09/2017,Acreedores por prestaciones de servicios (euros),410,223.1,0.0,Angie Henderson,0.0,0.0,400,Actual
10,10.0,29/09/2017,Cash,570,0.0,223.1,Angie Henderson,0.0,0.0,500,Actual
11,11.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,35.0,Abigail Shaffer,0.0,35.0,700,Actual
12,12.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,35.0,Abigail Shaffer,0.0,35.0,700,Actual
13,13.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,20.0,Abigail Shaffer,0.0,20.0,700,Actual
14,14.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,70.0,Abigail Shaffer,0.0,70.0,700,Actual
15,15.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,37.0,Abigail Shaffer,0.0,37.0,700,Actual
16,16.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,78.0,Abigail Shaffer,0.0,78.0,700,Actual
17,17.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,25.0,Abigail Shaffer,0.0,25.0,700,Actual
18,18.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,23.0,Abigail Shaffer,0.0,23.0,700,Actual
19,19.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,22.0,Abigail Shaffer,0.0,22.0,700,Actual
20,20.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,34.0,Abigail Shaffer,0.0,34.0,700,Actual
21,21.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,20.0,Abigail Shaffer,0.0,20.0,700,Actual
22,22.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,28.0,Abigail Shaffer,0.0,28.0,700,Actual
23,23.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,25.0,Abigail Shaffer,0.0,25.0,700,Actual
24,24.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,83.0,Abigail Shaffer,0.0,83.0,700,Actual
25,25.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,28.0,Abigail Shaffer,0.0,28.0,700,Actual
26,26.0,30/09/2017,Prestaciones de servicios Intracomunitarias,705,0.0,30.0,Abigail Shaffer,0.0,30.0,700,Actual
