Movimiento,Fecha,Cuenta,NoCuenta,Debe,Haber,Entidad
BNK1/2017/0054,2017-09-25,Capital social,100000,0.0,1500.0,Allison Hill
BNK1/2017/0054,2017-09-25,BBVA,572001,1500.0,0.0,Allison Hill
BNK1/2017/0053,2017-09-25,Capital social,100000,0.0,1500.0,Noah Rhodes
BNK1/2017/0053,2017-09-25,BBVA,572001,1500.0,0.0,Noah Rhodes
BILL/2017/0001,2017-09-25,Acreedores por prestaciones de servicios (euros),410000,0.0,223.1,Angie Henderson
BILL/2017/0001,2017-09-25,"Hacienda Pública, acreedora por retenciones practicadas",475100,0.0,30.72,Angie Henderson
BILL/2017/0001,2017-09-25,Hacienda Pública. IVA soportado,472000,43.01,0.0,Angie Henderson
BILL/2017/0001,2017-09-25,Reservas voluntarias,113000,6.01,0.0,Angie Henderson
BILL/2017/0001,2017-09-25,Reservas voluntarias,113000,204.8,0.0,Angie Henderson
CSH1/2017/0002,2017-09-29,Cash,570001,0.0,223.1,Angie Henderson
CSH1/2017/0002,2017-09-29,Acreedores por prestaciones de servicios (euros),410000,223.1,0.0,Angie Henderson
2017/00002,2017-09-30,"Hacienda Pública, acreedora por IVA",475000,0.0,22.09,Daniel Wagner
2017/00002,2017-09-30,Hacienda Pública. IVA repercutido,477000,65.1,0.0,Cristian Santos
2017/00002,2017-09-30,Hacienda Pública. IVA soportado,472000,0.0,43.01,Cristian Santos
T1739002,2017-09-30,Clientes (euros),430000,375.1,0.0,Connie Lawrence
T1739002,2017-09-30,Hacienda Pública. IVA repercutido,477000,0.0,65.1,Connie Lawrence
T1739002,2017-09-30,Prestaciones de servicios en España,705000,0.0,310.0,Connie Lawrence
T1739001,2017-09-30,Clientes (euros),430000,5473.0,0.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,68.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,65.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,35.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,30.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,22.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,70.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,468.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,20.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,1950.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,23.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,25.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,1900.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,22.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,60.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,83.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,35.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,35.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,20.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,70.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,37.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,78.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,25.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,23.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,75.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,20.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,34.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,20.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,28.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,25.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,22.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,28.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,30.0,Abigail Shaffer
T1739001,2017-09-30,Prestaciones de servicios Intracomunitarias,705100,0.0,27.0,Abigail Shaffer
CSH1/2017/0036,2017-10-01,Cash,570001,0.0,16.36,Gina Moore
CSH1/2017/0036,2017-10-01,Acreedores por prestaciones de servicios en España (euros),410100,16.36,0.0,Gina Moore
CSH1/2017/0035,2017-10-01,Cash,570001,0.0,7.27,Gina Moore
CSH1/2017/0035,2017-10-01,Acreedores por prestaciones de servicios en España (euros),410100,7.27,0.0,Gina Moore
BILL/2017/0069,2017-10-01,Acreedores por prestaciones de servicios en España (euros),410100,0.0,7.27,Gina Moore
BILL/2017/0069,2017-10-01,Hacienda Pública. IVA soportado,472000,1.26,0.0,Gina Moore
BILL/2017/0069,2017-10-01,Reservas voluntarias,113000,6.01,0.0,Gina Moore
BILL/2017/0068,2017-10-01,Acreedores por prestaciones de servicios en España (euros),410100,0.0,16.36,Gina Moore
BILL/2017/0068,2017-10-01,Hacienda Pública. IVA soportado,472000,2.84,0.0,Gina Moore
BILL/2017/0068,2017-10-01,Reservas voluntarias,113000,13.52,0.0,Gina Moore
T1739003,2017-10-01,Clientes (euros),430000,3564.270000000001,0.0,Gabrielle Davis
T1739003,2017-10-01,Hacienda Pública. IVA repercutido,477000,0.0,618.59,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,29.28,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,90.12,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,20.0,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,51.24,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,79.32000000000001,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,49.56,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,229.74,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,81.78,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,38.1,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,20.0,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,31.56,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,30.9,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,33.84,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,91.5,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,35.52,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,60.36,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,20.0,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,1096.86,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,136.98,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,28.08,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,26.76,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,78.36,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,20.0,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,41.46,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,27.06,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,85.38,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,20.0,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,56.88,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,42.48,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,36.96,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,64.56,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,60.9,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,21.12,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,20.0,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,20.0,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,49.02,Gabrielle Davis
T1739003,2017-10-01,Prestaciones de servicios en España,705000,0.0,20.0,Gabrielle Davis
T1739004,2017-10-01,Clientes (euros),430000,3200.76,0.0,Ryan Munoz
T1739004,2017-10-01,Hacienda Pública. IVA repercutido,477000,0.0,555.5,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,97.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,65.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,1662.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,21.26,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,20.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,25.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,149.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,25.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,25.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,53.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,33.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,25.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,50.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,105.0,Ryan Munoz
T1739004,2017-10-01,Prestaciones de servicios en España,705000,0.0,290.0,Ryan Munoz
T1739005,2017-10-01,Clientes (euros),430000,37.0,0.0,Monica Herrera
T1739005,2017-10-01,Prestaciones de servicios extracomunitarias,705200,0.0,37.0,Monica Herrera
CSH1/2017/0005,2017-10-03,Cash,570001,0.0,30.0,Jamie Arnold
CSH1/2017/0005,2017-10-03,Proveedores (euros),400000,30.0,0.0,Jamie Arnold
